title, price, discount, link
RK ROYAL KLUDGE M75 Mechanical Keyboard/ 2.4GHz Wireless/Bluetooth/USB-C Wired Gaming Keyboard 75% Layout 81 Keys with OLED Smart Display & Knob/ RGB Backlight Hot-Swappable Brown Switch, $119.99, 29, amazon.com/RK-ROYAL-KLUDGE-Mechanical-Hot-Swappable/dp/B0BRZ2GB36/ref=sr_1_48?qid=1693317918&refinements=p_n_deal_type%3A23566064011&refresh=1&rnid=23566063011&s=videogames&sr=1-48
Vassink Ergonomic Mouse/ Rechargeable Wireless Mouse/ 2.4GHz Rechargeable Wireless Vertical Optical Mice with USB Receiver/ 6 Buttons/ 800/1200/1600 DPI/ for Laptop/ PC/ Computer Black, $19.99, 31, amazon.com/Vassink-Ergonomic-Rechargeable-Wireless-Vertical/dp/B086X42Q4R/ref=sr_1_49?qid=1693317919&refinements=p_n_deal_type%3A23566064011&refresh=1&rnid=23566063011&s=videogames&sr=1-49
Rechargeable Battery Pack for Xbox One/Xbox Series X|S/ Controller Battery Pack for Xbox Series X|S/Xbox One/Xbox One S/Xbox One X/One Elite Controller w/ 2x2550mAh Xbox Controller Battery Pack Green, $18.99, 10, amazon.com/Rechargeable-Battery-Controller-Elite-2x2550mAh/dp/B09QHJH89D/ref=sr_1_50?qid=1693317919&refinements=p_n_deal_type%3A23566064011&refresh=1&rnid=23566063011&s=videogames&sr=1-50
Logitech G815 LIGHTSYNC RGB Mechanical Gaming Keyboard with Low Profile GL Tactile Key Switch/ 5 programmable G-Keys/USB Passthrough/ Dedicated Media Control/ Black and White colorways, $199.99, 35, amazon.com/Logitech-G815-Mechanical-programmable-Passthrough/dp/B0BDP9K97M/ref=sr_1_51?qid=1693317919&refinements=p_n_deal_type%3A23566064011&refresh=1&rnid=23566063011&s=videogames&sr=1-51
JBL Quantum 610 Wireless 2.4GHz Headset: 40h Battery/ 50mm Drivers/ PC Gaming and Console Compatible/ Black/ Medium, $149.95, 40, amazon.com/JBL-Quantum-Wireless-2-4GHz-Headset/dp/B09TBGDMCZ/ref=sr_1_52?qid=1693317919&refinements=p_n_deal_type%3A23566064011&refresh=1&rnid=23566063011&s=videogames&sr=1-52
PPKKAI Controller with Wireless Adapter for Xbox One/ Xbox Series X/S/ Xbox One X/S/ PC/ 2.4GHZ Controller with 3.5mm Headphone Jack, $47.98, 27, amazon.com/PPKKAI-Controller-Wireless-Adapter-Headphone/dp/B0BWDPMF5Z/ref=sr_1_53?qid=1693317919&refinements=p_n_deal_type%3A23566064011&refresh=1&rnid=23566063011&s=videogames&sr=1-53
NUBWO HW02 USB Headset with Microphone Noise Cancelling &in-line Control/ Super Light/ Ultra Comfort Computer Headset for Laptop pc/ On-Ear Wired Office Call Center Headset for Boom Skype Webinars, $17.59, 10, amazon.com/NUBWO-Microphone-Cancelling-Controls-Headphone/dp/B094Q53RW6/ref=sr_1_54?qid=1693317919&refinements=p_n_deal_type%3A23566064011&refresh=1&rnid=23566063011&s=videogames&sr=1-54
HAUZIK Power Supply Replacement Compatible with Nintendo 3DS/ 3DS XL/ 2DS/ 2DS XL/ DSi/ DSi XL Charger AC Adapter with Cable, $14.99, 47, amazon.com/Replacement-Compatible-Nintendo-Charger-Adapter/dp/B07YFZSFSG/ref=sr_1_55?qid=1693317919&refinements=p_n_deal_type%3A23566064011&refresh=1&rnid=23566063011&s=videogames&sr=1-55
Micro USB Cable/15Ft Extra Long PS4 Controller Charger Cable/ DEEGO Durable Android Charging Cord for Samsung Galaxy S7 Edge S6/Note 5/Note 4/Moto G5/Android Phone/Kindle Fire/Black, $7.99, 20, amazon.com/Controller-Charger-Durable-Android-Charging/dp/B01GEDOPR0/ref=sr_1_56?qid=1693317919&refinements=p_n_deal_type%3A23566064011&refresh=1&rnid=23566063011&s=videogames&sr=1-56
Keyboard and Mouse Wireless Combo with 7 Color Changable Backlits/ Wrist Rest/ Jiggler Mouse/ Phone Holder/ Ergonomic Quiet Rechargeable Cordless Mouse Keyboard Set for Windows/ PC/ Laptop by Choiana, $59.99, 30, amazon.com/Keyboard-Ergonomic-Rechargeable-Full-Size-Choiana/dp/B0BR7NG5H5/ref=sr_1_57?qid=1693317919&refinements=p_n_deal_type%3A23566064011&refresh=1&rnid=23566063011&s=videogames&sr=1-57
